Accuracy on test set: 0.786
Micro F1-score on test set: 0.786
Macro F1-score on test set: 0.6584408623221084
Weighted F1-score on test set: 0.7797768811435937

ENTY:cremat: 0.0
ENTY:event: 0.0
ENTY:product: 0.0
ENTY:word: 0.0
HUM:title: 0.0
ENTY:other: 0.25
DESC:desc: 0.3333333333333333
NUM:money: 0.3333333333333333
NUM:perc: 0.3333333333333333
ENTY:plant: 0.33333333333333337
ENTY:substance: 0.4
ENTY:dismed: 0.5
HUM:desc: 0.5
NUM:other: 0.5555555555555556
LOC:state: 0.588235294117647
HUM:gr: 0.6666666666666666
LOC:mount: 0.6666666666666666
NUM:dist: 0.6666666666666666
ENTY:termeq: 0.7058823529411764
LOC:city: 0.7428571428571428
ABBR:exp: 0.7999999999999999
DESC:manner: 0.8
ENTY:body: 0.8
LOC:country: 0.8
LOC:other: 0.8000000000000002
ENTY:animal: 0.8148148148148148
NUM:count: 0.8181818181818181
ENTY:color: 0.8235294117647058
NUM:period: 0.8421052631578948
ENTY:food: 0.8571428571428571
ENTY:veh: 0.8571428571428571
NUM:weight: 0.8571428571428571
DESC:def: 0.8659003831417624
HUM:ind: 0.8833333333333333
NUM:temp: 0.888888888888889
ENTY:currency: 0.9090909090909091
NUM:date: 0.9782608695652174
ABBR:abb: 1.0
DESC:reason: 1.0
ENTY:instru: 1.0
ENTY:lang: 1.0
ENTY:sport: 1.0
ENTY:techmeth: 1.0
NUM:speed: 1.0

Sentence                                                                                    (True label, Prediction)
Who lived in the Neuschwanstein castle ?                                                    (HUM:ind, HUM:ind)
What is propylene glycol ?                                                                  (DESC:def, DESC:def)
What is a panic disorder ?                                                                  (DESC:def, DESC:def)
Who invented the instant Polaroid camera ?                                                  (HUM:ind, HUM:ind)
What is a carcinogen ?                                                                      (DESC:def, DESC:def)
What is a baby lion called ?                                                                (ENTY:animal, ENTY:termeq)
What is the world 's population ?                                                           (NUM:other, NUM:count)
What is nepotism ?                                                                          (DESC:def, DESC:def)
What is die-casting ?                                                                       (DESC:def, DESC:def)
What is myopia ?                                                                            (DESC:def, DESC:def)
What is the sales tax rate in New York ?                                                    (NUM:other, NUM:money)
Developing nations comprise what percentage of the world 's population ?                    (NUM:perc, NUM:count)
What is the fourth highest mountain in the world ?                                          (LOC:mount, LOC:mount)
What is Shakespeare 's nickname ?                                                           (HUM:ind, HUM:ind)
What is the heaviest naturally occurring element ?                                          (ENTY:substance, ENTY:substance)
When is Father 's Day ?                                                                     (NUM:date, NUM:date)
What does the acronym NASA stand for ?                                                      (ABBR:exp, ABBR:exp)
How long is the Columbia River in miles ?                                                   (NUM:dist, LOC:other)
What city 's newspaper is called `` The Star '' ?                                           (LOC:city, ENTY:cremat)
What is carbon dioxide ?                                                                    (DESC:def, DESC:def)
Where is the Mason/Dixon line ?                                                             (LOC:other, LOC:other)
When was the Boston tea party ?                                                             (NUM:date, NUM:date)
What is metabolism ?                                                                        (DESC:def, DESC:def)
Which U.S.A. president appeared on `` Laugh-In '' ?                                         (HUM:ind, HUM:ind)
What are cigarettes made of ?                                                               (ENTY:substance, ENTY:substance)
What is the capital of Zimbabwe ?                                                           (LOC:city, LOC:city)
What does NASA stand for ?                                                                  (ABBR:exp, ABBR:exp)
What is the state flower of Michigan ?                                                      (ENTY:plant, LOC:state)
What are semiconductors ?                                                                   (DESC:def, DESC:def)
What is nuclear power ?                                                                     (DESC:def, DESC:def)
What is a tsunami ?                                                                         (DESC:def, DESC:def)
Who is the congressman from state of Texas on the armed forces committee ?                  (HUM:ind, HUM:ind)
Who was president in 1913 ?                                                                 (HUM:ind, HUM:ind)
When was the first kidney transplant ?                                                      (NUM:date, NUM:date)
What are Canada 's two territories ?                                                        (LOC:other, DESC:def)
What was the name of the plane Lindbergh flew solo across the Atlantic ?                    (ENTY:veh, HUM:ind)
What is genocide ?                                                                          (DESC:def, DESC:def)
What continent is Argentina on ?                                                            (LOC:other, LOC:other)
What monastery was raided by Vikings in the late eighth century ?                           (ENTY:other, LOC:city)
What is an earthquake ?                                                                     (DESC:def, DESC:def)
Where is the tallest roller coaster located ?                                               (LOC:other, LOC:other)
What are enzymes ?                                                                          (DESC:def, DESC:def)
Who discovered oxygen ?                                                                     (HUM:ind, HUM:ind)
What is bangers and mash ?                                                                  (DESC:def, DESC:def)
What is the name given to the Tiger at Louisiana State University ?                         (ENTY:animal, ENTY:animal)
Where are the British crown jewels kept ?                                                   (LOC:other, LOC:other)
Who was the first person to reach the North Pole ?                                          (HUM:ind, HUM:ind)
What is an ulcer ?                                                                          (DESC:def, DESC:def)
What is vertigo ?                                                                           (DESC:def, DESC:def)
What is the spirometer test ?                                                               (DESC:def, DESC:def)
When is the official first day of summer ?                                                  (NUM:date, NUM:date)
What does the abbreviation SOS mean ?                                                       (ABBR:exp, ABBR:exp)
What is the smallest bird in Britain ?                                                      (ENTY:animal, ENTY:animal)
Who invented Trivial Pursuit ?                                                              (HUM:ind, HUM:ind)
What gasses are in the troposphere ?                                                        (ENTY:substance, DESC:def)
Which country has the most water pollution ?                                                (LOC:country, LOC:country)
What is the scientific name for elephant ?                                                  (ENTY:animal, ENTY:animal)
Who is the actress known for her role in the movie `` Gypsy '' ?                            (HUM:ind, HUM:ind)
What breed of hunting dog did the Beverly Hillbillies own ?                                 (ENTY:animal, ENTY:animal)
What is the rainiest place on Earth ?                                                       (LOC:other, LOC:other)
Who was the first African American to win the Nobel Prize in literature ?                   (HUM:ind, HUM:ind)
When is St. Patrick 's Day ?                                                                (NUM:date, NUM:date)
What was FDR 's dog 's name ?                                                               (ENTY:animal, ENTY:animal)
What colors need to be mixed to get the color pink ?                                        (ENTY:color, ENTY:color)
What is the most popular sport in Japan ?                                                   (ENTY:sport, ENTY:sport)
What is the active ingredient in baking soda ?                                              (ENTY:food, ENTY:substance)
When was Thomas Jefferson born ?                                                            (NUM:date, NUM:date)
How cold should a refrigerator be ?                                                         (NUM:temp, DESC:manner)
When was the telephone invented ?                                                           (NUM:date, NUM:date)
What is the most common eye color ?                                                         (ENTY:color, ENTY:color)
Where was the first golf course in the United States ?                                      (LOC:other, LOC:other)
What is schizophrenia ?                                                                     (DESC:def, DESC:def)
What is angiotensin ?                                                                       (DESC:def, DESC:def)
What did Jesse Jackson organize ?                                                           (HUM:gr, DESC:def)
What is New York 's state bird ?                                                            (ENTY:animal, ENTY:animal)
What is the National Park in Utah ?                                                         (LOC:other, DESC:desc)
What is Susan B. Anthony 's birthday ?                                                      (NUM:date, DESC:def)
In which state would you find the Catskill Mountains ?                                      (LOC:state, LOC:other)
What do you call a word that is spelled the same backwards and forwards ?                   (ENTY:termeq, ENTY:word)
What are pediatricians ?                                                                    (DESC:def, DESC:def)
What chain store is headquartered in Bentonville , Arkansas ?                               (HUM:gr, HUM:gr)
What are solar cells ?                                                                      (DESC:def, DESC:def)
What is compounded interest ?                                                               (DESC:def, DESC:def)
What are capers ?                                                                           (DESC:def, DESC:def)
What is an antigen ?                                                                        (DESC:def, DESC:def)
What currency does Luxembourg use ?                                                         (ENTY:currency, ENTY:currency)
What is the population of Venezuela ?                                                       (NUM:other, NUM:other)
What type of polymer is used for bulletproof vests ?                                        (ENTY:other, LOC:city)
What currency does Argentina use ?                                                          (ENTY:currency, ENTY:currency)
What is a thermometer ?                                                                     (DESC:def, DESC:def)
What Canadian city has the largest population ?                                             (LOC:city, LOC:city)
What color are crickets ?                                                                   (ENTY:color, DESC:def)
Which country gave New York the Statue of Liberty ?                                         (LOC:country, HUM:ind)
What was the name of the first U.S. satellite sent into space ?                             (ENTY:product, HUM:ind)
What precious stone is a form of pure carbon ?                                              (ENTY:substance, ENTY:other)
What kind of gas is in a fluorescent bulb ?                                                 (ENTY:substance, ENTY:other)
What is rheumatoid arthritis ?                                                              (DESC:def, DESC:def)
What river runs through Rowe , Italy ?                                                      (LOC:other, LOC:other)
What is cerebral palsy ?                                                                    (DESC:def, DESC:def)
What city is also known as `` The Gateway to the West '' ?                                  (LOC:city, LOC:city)
How far away is the moon ?                                                                  (NUM:dist, NUM:dist)
What is the source of natural gas ?                                                         (ENTY:other, ENTY:other)
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?          (ENTY:veh, ENTY:veh)
What is pectin ?                                                                            (DESC:def, DESC:def)
What is bio-diversity ?                                                                     (DESC:def, DESC:def)
What 's the easiest way to remove wallpaper ?                                               (ENTY:techmeth, ENTY:techmeth)
What year did the Titanic start on its journey ?                                            (NUM:date, NUM:date)
How much of an apple is water ?                                                             (NUM:count, NUM:count)
Who was the 22nd President of the US ?                                                      (HUM:ind, HUM:ind)
What is the money they use in Zambia ?                                                      (ENTY:currency, NUM:money)
How many feet in a mile ?                                                                   (NUM:count, NUM:count)
What is the birthstone of October ?                                                         (ENTY:substance, DESC:def)
What is e-coli ?                                                                            (DESC:def, DESC:def)
